,Общая,Жилая,Кухня,Этаж,Тип жилья,Планировка,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Балкон/лоджия,Вид из окон,Отделка,Цена,Комнат,Район,Линк,Построен,Срок сдачи,Санузел,Высота потолков,Ремонт
146,47,12,20,5,Вторичка,,,1 балкон,На улицу,,5350000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/241227155/,,,1 совмещенный,,Без ремонта
147,77,,,16,Вторичка,,,1 балкон,,,7300000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/235920936/,2009,,,,
148,15,,,2,Вторичка,,,,,,1400000,"Студия,",р-н Авиастроительный,https://kazan.cian.ru/sale/flat/224468449/,1959,,,3 м,Косметический
149,34,14,9,6,Вторичка,,,1 балкон,На улицу,,4250000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243733406/,2020,,1 совмещенный,,
150,74,50,8,2,Вторичка,,16.7-13.3-12.5-8.3 м²,1 лоджия,,,6500000,4-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/244524509/,,,1 раздельный,,Без ремонта
151,66,37,8,2,Вторичка,Изолированная,14.5-10.4-12.7 м²,1 балкон,На улицу и двор,,5290000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244987560/,,,1 раздельный,"2,6 м",
152,72,,9,12,Вторичка,Изолированная,,1 лоджия,Во двор,,7100000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/240948725/,2011,,1 раздельный,"2,5 м",Евроремонт
153,28,14,5,7,Новостройка,,14 м²,1 балкон,Во двор,Черновая,2750000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/189023333/,,,1 раздельный,,
154,71,36,9,2,Вторичка,,,1 лоджия,,,5600000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/243196292/,2012,,,0 м,
155,108,,,8,Вторичка,,,1 лоджия,На улицу и двор,,7650000,5-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/200779265/,1998,,1 раздельный,,Косметический
156,49,,,13,Вторичка,,,1 лоджия,На улицу и двор,,4800000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/244263697/,,,1 раздельный,,Косметический
157,38,,,5,Вторичка,,,1 балкон,На улицу,,4300000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/242435838/,2008,,,"2,5 м",Косметический
158,31,19,8,6,Вторичка,,19 м²,1 балкон,Во двор,,4200000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245140788/,2019,,,,Евроремонт
